
Image Name                     PID Session Name        Session#    Mem Usage
NVDisplay.Container.exe     107120 Console                    6     14.352 K
ETDCtrl.exe                 111220 Console                    6     16.624 K
sihost.exe                  111680 Console                    6     23.468 K
svchost.exe                 112024 Console                    6     21.372 K
svchost.exe                 112116 Console                    6     30.856 K
taskhostw.exe               112068 Console                    6     18.076 K
ctfmon.exe                  112588 Console                    6     19.412 K
explorer.exe                111684 Console                    6    161.676 K
svchost.exe                 112908 Services                   0      6.264 K
ETDTouch.exe                113888 Console                    6      4.336 K
svchost.exe                 114028 Console                    6     18.524 K
igfxEM.exe                  112816 Console                    6      9.980 K
uihost.exe                  113884 Console                    6      8.220 K
ETDCtrlHelper.exe           113732 Console                    6      5.772 K
QAAgent.exe                 116356 Console                    6        336 K
QALockHandler.exe           115348 Console                    6      7.532 K
QAAdminAgent.exe            116244 Console                    6     20.076 K
ModuleCoreService.exe       115788 Console                    6     22.220 K
unsecapp.exe                115648 Console                    6     10.084 K
conhost.exe                 113880 Console                    6      4.392 K
igfxext.exe                 116532 Console                    6      6.416 K
StartMenuExperienceHost.e   117668 Console                    6     35.008 K
RuntimeBroker.exe           113252 Console                    6     21.156 K
unsecapp.exe                116428 Console                    6     10.172 K
SearchApp.exe               114040 Console                    6     79.300 K
RuntimeBroker.exe           110420 Console                    6     47.632 K
dllhost.exe                 119744 Console                    6     14.176 K
svchost.exe                 119028 Console                    6     17.488 K
BackgroundAgent.exe         119436 Console                    6      1.652 K
AcerPortal.exe              119280 Console                    6      1.584 K
RAVCpl64.exe                122796 Console                    6      1.000 K
ACCStd.exe                  122056 Console                    6      5.432 K
ePowerButton_NB.exe         122412 Console                    6      2.268 K
MusNotifyIcon.exe           122000 Console                    6        736 K
ShellExperienceHost.exe     124528 Console                    6     46.952 K
YourPhone.exe               124708 Console                    6      5.992 K
SettingSyncHost.exe         124724 Console                    6      3.972 K
RuntimeBroker.exe           123940 Console                    6     11.524 K
SecurityHealthSystray.exe   125668 Console                    6      7.212 K
RAVBg64.exe                 125360 Console                    6     10.952 K
